time,coin,funding,open_interest,prev_day_px,day_ntl_vlm,premium,oracle_px,mark_px,mid_px,impact_bid_px,impact_ask_px
2025-05-17 02:00:00+00:00,DOGE,1.25e-05,217774960.0,0.22294,42189514.617630005,0.0,0.21582,0.21581,0.21582,0.215785,0.215849
2025-05-17 03:00:00+00:00,DOGE,1.25e-05,218993530.0,0.22539,40462460.41774001,0.0,0.21715,0.21715,0.217185,0.21715,0.217193
2025-05-17 04:00:00+00:00,DOGE,1.25e-05,210928632.0,0.22642,42410544.17912001,-4.5821e-06,0.21824,0.21821,0.218215,0.21821,0.218239
2025-05-17 05:00:00+00:00,DOGE,1.25e-05,211074640.0,0.22541,41563004.02088002,0.0,0.21916,0.21912,0.219165,0.219116,0.21917
2025-05-17 06:00:00+00:00,DOGE,1.25e-05,210693106.0,0.22635,41116045.52982002,-6.00212e-05,0.21659,0.21656,0.216565,0.21656,0.216577
2025-05-17 07:00:00+00:00,DOGE,1.25e-05,213360484.0,0.22656,41897203.61126001,0.0,0.21782,0.2178,0.217815,0.21781,0.217829
2025-05-17 08:00:00+00:00,DOGE,1.25e-05,213996288.0,0.22584,37933247.9606,0.0,0.21715,0.21715,0.217165,0.217137,0.21717
2025-05-17 09:00:00+00:00,DOGE,1.25e-05,213481936.0,0.22366,37474789.43358,-0.0001159609,0.21559,0.21556,0.215555,0.21555,0.215565
2025-05-17 10:00:00+00:00,DOGE,1.25e-05,213080082.0,0.22889,36689716.55861001,-0.0001621722,0.21582,0.21578,0.215775,0.215768,0.215785
2025-05-17 11:00:00+00:00,DOGE,1.25e-05,211541042.0,0.22975,36040801.15420001,-9.26269e-05,0.21592,0.21589,0.215895,0.215881,0.2159
2025-05-17 12:00:00+00:00,DOGE,1.25e-05,211751264.0,0.22718,34681038.529740006,0.0,0.21554,0.21554,0.215535,0.215505,0.21554
2025-05-17 13:00:00+00:00,DOGE,1.25e-05,211590276.0,0.22637,34470246.92814001,0.0,0.21481,0.21479,0.214805,0.21478,0.21482
2025-05-17 14:00:00+00:00,DOGE,1.25e-05,208149650.0,0.2292,32684573.220969997,-9.39099e-05,0.21297,0.21294,0.21294,0.212922,0.21295
2025-05-17 15:00:00+00:00,DOGE,1.25e-05,210483758.0,0.22647,30910498.507139985,0.0,0.21639,0.2164,0.2164,0.21638,0.21642
2025-05-17 16:00:00+00:00,DOGE,1.25e-05,212027910.0,0.22914,28969113.026969988,0.0,0.21505,0.21504,0.215055,0.215022,0.21506
2025-05-17 17:00:00+00:00,DOGE,1.25e-05,211517986.0,0.22822,27595072.215599988,0.0,0.21387,0.21382,0.213825,0.21382,0.21388
2025-05-17 18:00:00+00:00,DOGE,1.25e-05,211591028.0,0.226,26134399.008699983,0.0,0.21397,0.21396,0.213975,0.213931,0.21398
2025-05-17 19:00:00+00:00,DOGE,1.25e-05,211108436.0,0.22551,18665921.42642,-9.3419e-06,0.21409,0.21406,0.21405,0.214029,0.214088
2025-05-17 20:00:00+00:00,DOGE,1.25e-05,225558594.0,0.22709,20747387.538590003,0.0,0.21457,0.21463,0.214575,0.21457,0.21458
2025-05-17 21:00:00+00:00,DOGE,1.25e-05,230059150.0,0.22428,21026346.6252,0.0,0.21732,0.21739,0.217305,0.2173,0.217373
2025-05-17 22:00:00+00:00,DOGE,1.25e-05,229952790.0,0.2238,20885738.075830005,0.0001430945,0.21664,0.2167,0.216695,0.216671,0.2167
2025-05-17 23:00:00+00:00,DOGE,1.25e-05,230344468.0,0.2214,20938024.45572,0.0,0.21349,0.21355,0.213525,0.21349,0.21356
2025-05-18 00:00:00+00:00,DOGE,1.25e-05,230103424.0,0.22112,20653096.33259,0.0003355392,0.21458,0.21465,0.214685,0.214652,0.21469
2025-05-18 01:00:00+00:00,DOGE,1.25e-05,229873194.0,0.21867,18447120.24226,0.0002362861,0.21584,0.2159,0.215915,0.215891,0.21592
2025-05-18 02:00:00+00:00,DOGE,1.25e-05,229775108.0,0.21583,16644861.950080004,3.23236e-05,0.21656,0.21662,0.21661,0.216567,0.216637
2025-05-18 03:00:00+00:00,DOGE,1.25e-05,229582884.0,0.21719,15686941.376710003,0.0002310216,0.21643,0.21648,0.216485,0.21648,0.216497
2025-05-18 04:00:00+00:00,DOGE,1.25e-05,230061784.0,0.21822,13757165.04194,0.0003245398,0.21569,0.21576,0.215765,0.21576,0.215781
2025-05-18 05:00:00+00:00,DOGE,1.25e-05,230188892.0,0.21917,13555052.914,0.0003692592,0.21665,0.21673,0.216735,0.21673,0.216744
2025-05-18 06:00:00+00:00,DOGE,1.25e-05,228834166.0,0.21657,14135429.37156,0.0002712845,0.22117,0.22123,0.22124,0.22123,0.22125
2025-05-18 07:00:00+00:00,DOGE,1.25e-05,227816590.0,0.21782,12981297.25032,9.1112e-05,0.21951,0.21959,0.21957,0.21953,0.21961
2025-05-18 08:00:00+00:00,DOGE,1.25e-05,229551780.0,0.21717,12466792.875089996,0.0004056247,0.22188,0.22196,0.221975,0.22197,0.221992
2025-05-18 09:00:00+00:00,DOGE,1.25e-05,229232282.0,0.21556,12898112.11697,0.0002231246,0.22409,0.22418,0.22419,0.22414,0.22422
2025-05-18 10:00:00+00:00,DOGE,1.25e-05,230962102.0,0.21578,12886594.3063,0.0002696508,0.22251,0.22257,0.222575,0.22257,0.222605
2025-05-18 11:00:00+00:00,DOGE,1.25e-05,230928342.0,0.2159,12682190.07356,0.0002291105,0.2226,0.22269,0.222695,0.222651,0.2227
2025-05-18 12:00:00+00:00,DOGE,1.25e-05,230684364.0,0.21554,12579570.24096,0.0001979842,0.22224,0.22231,0.222315,0.222284,0.22235
2025-05-18 13:00:00+00:00,DOGE,1.25e-05,231936946.0,0.21482,12711640.014959998,0.0003606572,0.22459,0.22472,0.22469,0.224671,0.224701
2025-05-18 14:00:00+00:00,DOGE,1.58146e-05,232694630.0,0.21294,12769963.70292,0.0006265167,0.22665,0.22675,0.226855,0.226792,0.22686
2025-05-18 15:00:00+00:00,DOGE,1.25e-05,234773740.0,0.21634,13479779.97959,0.0002605071,0.23032,0.23038,0.230385,0.23038,0.230427
2025-05-18 16:00:00+00:00,DOGE,1.25e-05,229220216.0,0.21505,16178884.384340003,0.0003254713,0.23658,0.23667,0.23667,0.236657,0.23668
2025-05-18 17:00:00+00:00,DOGE,2.75805e-05,251595822.0,0.21354,20331332.19458,0.0007206443,0.2359,0.23605,0.236075,0.23607,0.236118
2025-05-18 18:00:00+00:00,DOGE,0.0001220499,273872586.0,0.21384,26409560.60286,0.0014763993,0.23029,0.23051,0.230635,0.23063,0.23064
2025-05-18 19:00:00+00:00,DOGE,1.25e-05,275089752.0,0.21393,30677831.91152,0.0003948927,0.22791,0.22811,0.228025,0.228,0.22805
2025-05-18 20:00:00+00:00,DOGE,1.25e-05,217766454.0,0.21471,39491589.2581,0.0002293269,0.22239,0.22244,0.222455,0.222441,0.22246
2025-05-18 21:00:00+00:00,DOGE,1.25e-05,210178610.0,0.21735,41736804.729370005,0.0001345291,0.223,0.22304,0.223035,0.22303,0.223104
2025-05-18 22:00:00+00:00,DOGE,1.25e-05,207041578.0,0.21669,43310520.38486999,0.0003980678,0.22358,0.2236,0.223695,0.223669,0.2237
2025-05-18 23:00:00+00:00,DOGE,1.25e-05,206787950.0,0.21351,44735190.3387,0.0,0.22919,0.22924,0.229145,0.229124,0.229193
2025-05-19 00:00:00+00:00,DOGE,1.25e-05,204643426.0,0.2147,45607845.44669,0.0002788862,0.23307,0.23315,0.23322,0.233135,0.233256
2025-05-19 01:00:00+00:00,DOGE,1.25e-05,197829856.0,0.21592,48521288.46628,0.0,0.22765,0.22769,0.227665,0.227613,0.2277
2025-05-19 02:00:00+00:00,DOGE,1.25e-05,199306392.0,0.21676,49402357.85188999,4.45117e-05,0.22466,0.22471,0.22468,0.22467,0.224699
2025-05-19 03:00:00+00:00,DOGE,1.25e-05,199804232.0,0.21654,50319661.72833999,-4.93894e-05,0.22272,0.22271,0.222695,0.22269,0.222709
2025-05-19 04:00:00+00:00,DOGE,1.25e-05,197797032.0,0.21589,51260299.51095,9.10913e-05,0.21956,0.21954,0.219585,0.21958,0.219603
2025-05-19 05:00:00+00:00,DOGE,1.25e-05,196741232.0,0.21674,52285506.829749994,-0.0001608308,0.21762,0.21754,0.217565,0.217535,0.217585
2025-05-19 06:00:00+00:00,DOGE,1.25e-05,197107326.0,0.22125,52454021.51474999,-0.0001145265,0.21829,0.21828,0.218215,0.21821,0.218265
2025-05-19 07:00:00+00:00,DOGE,1.25e-05,197176570.0,0.21953,52892153.53261998,0.0002938844,0.21437,0.21436,0.214455,0.214433,0.21446
2025-05-19 08:00:00+00:00,DOGE,1.25e-05,197595528.0,0.22204,53034106.57600998,0.0001376778,0.2179,0.21794,0.217935,0.21793,0.217952
2025-05-19 09:00:00+00:00,DOGE,1.25e-05,197032990.0,0.22428,52908309.30122998,4.61063e-05,0.21689,0.21693,0.216905,0.2169,0.21694
2025-05-19 10:00:00+00:00,DOGE,1.25e-05,197759384.0,0.22262,53279712.213559985,0.0,0.217,0.21696,0.217,0.21699,0.21701
2025-05-19 11:00:00+00:00,DOGE,1.25e-05,195145464.0,0.22259,53924252.216769986,-7.82293e-05,0.21731,0.21727,0.217275,0.21724,0.217293
2025-05-19 12:00:00+00:00,DOGE,1.25e-05,194969270.0,0.22232,54266874.170239985,-9.2081e-05,0.2172,0.21715,0.217155,0.21715,0.21718
2025-05-19 13:00:00+00:00,DOGE,1.25e-05,196389698.0,0.22465,54552201.24093998,-0.000144052,0.2152,0.21514,0.215155,0.215146,0.215169
2025-05-19 14:00:00+00:00,DOGE,1.25e-05,196957398.0,0.22686,54343941.33501998,-0.0002928928,0.21851,0.21845,0.218435,0.218416,0.218446
2025-05-19 15:00:00+00:00,DOGE,1.25e-05,200708350.0,0.23049,55137175.26464997,0.0,0.22039,0.22034,0.220395,0.22039,0.22042
2025-05-19 16:00:00+00:00,DOGE,1.25e-05,203662792.0,0.2367,53062363.34164998,0.0001807991,0.22124,0.22127,0.221285,0.22128,0.22129
2025-05-19 17:00:00+00:00,DOGE,1.25e-05,203858394.0,0.23609,49454025.212269984,0.0002010365,0.22384,0.22386,0.223945,0.223885,0.22395
2025-05-19 18:00:00+00:00,DOGE,1.25e-05,200348384.0,0.23063,46031001.05645999,0.0001338748,0.22409,0.22415,0.224125,0.22412,0.224133
2025-05-19 19:00:00+00:00,DOGE,1.25e-05,200235226.0,0.22799,42271488.779509984,0.0001347225,0.22268,0.22272,0.222715,0.22271,0.222729
2025-05-19 20:00:00+00:00,DOGE,1.25e-05,200393226.0,0.22245,31410324.073209982,0.0,0.22442,0.22448,0.224425,0.224362,0.22443
2025-05-19 21:00:00+00:00,DOGE,1.70328e-05,248424528.0,0.22304,34831890.10203999,0.0006362625,0.22475,0.22487,0.224905,0.224893,0.224916
2025-05-19 22:00:00+00:00,DOGE,1.25e-05,249800140.0,0.22369,33572768.18422,0.0,0.22439,0.22451,0.224415,0.22439,0.22444
2025-05-19 23:00:00+00:00,DOGE,1.25e-05,247559496.0,0.22915,31911193.40764999,0.0005373936,0.2233,0.22341,0.223425,0.22342,0.22343
2025-05-20 00:00:00+00:00,DOGE,1.25e-05,247832776.0,0.2332,30765626.271549992,0.000579271,0.22442,0.22455,0.224565,0.22455,0.224601
2025-05-20 01:00:00+00:00,DOGE,1.25e-05,241258002.0,0.22763,30280883.121439993,4.46249e-05,0.22409,0.22421,0.224125,0.2241,0.224139
2025-05-20 02:00:00+00:00,DOGE,1.42948e-05,250779640.0,0.22458,31611559.91622,0.0006143584,0.22788,0.22802,0.228025,0.22802,0.228041
2025-05-20 03:00:00+00:00,DOGE,4.64349e-05,256583684.0,0.2227,33665231.81669999,0.0008714789,0.2272,0.22739,0.227435,0.227398,0.227446
2025-05-20 04:00:00+00:00,DOGE,4.27049e-05,247070922.0,0.21958,34572943.74352999,0.000841639,0.22575,0.22592,0.225945,0.22594,0.225966
2025-05-20 05:00:00+00:00,DOGE,3.11247e-05,248045812.0,0.2176,33873990.213879995,0.0007489977,0.22697,0.22712,0.227145,0.22714,0.22716
2025-05-20 06:00:00+00:00,DOGE,2.04426e-05,251068538.0,0.21814,33454175.982819986,0.0006635407,0.22606,0.22622,0.226215,0.22621,0.226235
2025-05-20 07:00:00+00:00,DOGE,1.25e-05,246467942.0,0.21444,33773119.16760998,0.0003558402,0.22482,0.22491,0.224905,0.2249,0.22491
2025-05-20 08:00:00+00:00,DOGE,1.25e-05,246778484.0,0.21783,34002852.41333999,0.000152809,0.2225,0.2226,0.222555,0.222534,0.22256
2025-05-20 09:00:00+00:00,DOGE,1.25e-05,220478696.0,0.2169,39372118.52793998,0.0,0.22161,0.2216,0.221605,0.221584,0.22161
2025-05-20 10:00:00+00:00,DOGE,1.25e-05,219013134.0,0.21699,40049865.618649974,0.0001445021,0.22145,0.22149,0.221515,0.221482,0.221554
2025-05-20 11:00:00+00:00,DOGE,1.25e-05,214271052.0,0.21737,40507171.28232998,9.06783e-05,0.22056,0.22055,0.220585,0.22058,0.220598
2025-05-20 12:00:00+00:00,DOGE,1.25e-05,213249426.0,0.21716,41192492.58979998,1.35851e-05,0.22083,0.22086,0.220865,0.220833,0.22087
